This is my third time I getting…,This is my third time I getting coverage and I’m satisfied with the service
Good service and fair price.,"Date of experience: March 05, 2025"
So easy to get the insurance online,So easy to get the insurance online. Excellent coverage and the price is the best we found.
Very easy to apply,Very easy to apply. Best price!
Very helpful and patient agents,"Date of experience: March 07, 2025"
Jodi was very helpful,Jodi was very helpful. I recommend this company and will use them again. She was very kind and informative.
Great service,Great service
Quick and easy to fill out application,"Quick and easy to fill out application. Approval and quote within seconds. Once purchased, the policy and details were sent by email within minutes."
The easy way to get travel insurance,The online quote and purchase process was easy to follow and provides clear instructions.The price for coverage is very reasonable and the support line answers the call quickly with knowledgeable advice.This is the second time we have purchased a plan through Snowbird advisor and are quite happy with the product.
Travel insurance,The advisor was very knowledgeable on the insurance that I needed!
Online quote easy to work with.,Online quote easy to work with.
rep was very clear in explaining things…,rep was very clear in explaining things to me that i did not understand.
I always get to talk to a real person…,I always get to talk to a real person promptly and don’t have to go through 10 menu items to get there. So rare these days and so appreciated.
Friendly and informative service,"Date of experience: March 06, 2025"
The phone was answered promptly and the…,The phone was answered promptly and the agent answered all my questions
"Agent was great, product price expensive compared to prior years","Agent was great , the price has been inflated dramatically from previous year, more than double. That's just gouging by the insurance companies."
Excellent customer service,Excellent customer service. The policy was explained very well in a way that I could understand. even though I had many questions they were always able to answer them.
"Great sales service, but expand your service options","The service representative was great. The person was patient, helpful and friendly.
I do have one suggestion which is for all companies who offer travel insurance. Many of us have separate emergency medical insurance already. We are looking for trip cancellation, trip interruption, and baggage lost and/or delayed coverage as a conclusive package. No company offers such an inclusive trip cancellation, trip interruption, baggage lost/delayed without the medical coverage.
Snowbirds Advisor Insurance, why not be the first!"
Friendly phone attendant,"Friendly phone attendant; quick quote provided;
Thanks!"
The person I spoke with was very…,The person I spoke with was very helpful and spent time to explain everything to me.
Able to complete all in one phone call.,"Date of experience: March 05, 2025"
Great communication,Great communication. Careful listening to understand our needs. Careful explanation of how our needs could be met. Careful explanation of advantage of underwritten policies. Positive outcome of coverage.
I really like the setup of their annual medical insurance and the top up available for extended stays. We had no problems at all with dealing with them when my husband needed stitches.,"Each person we have dealt with has been great. Courteous, helpful, great suggestions and well informed. We used to be with Medipac for years. We prefer this company."
Straightforward process,"Straightforward process, competitive rates and easy to follow!"
Customer service is excellent,"Customer service is excellent, representatives are very courteous and patient. They are very thorough."
Not a great experience.,"This was my third time purchasing a policy and it was not a good experience. First-I tried the online application (as I had in the past) and things kept freezing. So I called, got a quote and said I would continue searching. Called back to purchase the policy as quoted, and the rep (I had asked for Adam as that was the name I had written) was not the original one. This fellow was basically unintelligible, and garbled to the point the he sounded impaired. As a result he could not locate the quote even with a file # and said he would get back to me. In the meantime, I went back online and successfully obtained the required insurance. To his credit, he did call me back to ask if I actually got a quote from ‘us’ as he couldn’t find it. Told him not worry as I had already made the purchase. You provide great policies, but do need to better screen your sales reps."
The customer agent was very nice and…helpful,The customer agent was very nice and helpful she went through all the medical questions and explained when I asked
Our customer service representative was…,Our customer service representative was wonderful
Fast efficient service,"Date of experience: March 04, 2025"
Easy to answering to the questioner,Easy to answering to the questioner. Friendly people who answered to questions and give the valuable information.
Crystal was very helpful and friendly…,Crystal was very helpful and friendly on the phone
Very happy,The online enrolment process was extremely easy to follow for a senior like myself. The premium was very competitive too.
Professional and satisfied,The rep. was helpful and polite. It took very little time to complete the process and have the policy info in my inbox.
Easy and efficient,Easy and efficient
"Price was good, very helpful agent!",Price was good
Best price I could find BUT ...,"Best price I could find. One can only rate any insurance based on when/if a claim is needed. Until then, it's a gamble with any company."
Call was answered quickly by a live…a few rings,"Call was answered quickly by a live person.
All staff were polite, friendly and helpful.
The ability to input the credit card to pay for the policy was over the top useless. Declined my card after each try.
Had to call my bank,,,,that call was a twenty min wait, then had to transferred to someone else ,another ten min wait.
Found that because there was an error in the first time i entered my card number, tour system would not let any or the other entries go through…so all declined.

If the system is intended to be used that way to recieve credit card numbers, it is not worth it."
Access to talk with customers,Customer Service Reps very patient to explain products
Peace of mind,"I spoke to a very helpful person, who guided me through the whole process and made processing and paying very easy"
Nova Scotia Travelers!!,My wife spoke with Erica who was very congenial and helpful.She made the conversation very easy.This is the third time we have used Snowbird Insurance but luckily have not had to make a claim
"Insurance Team, one can trust in offering best options to fit needs","All customer agents were professional and very knowledgeable in advising insurance needs that best suited my situation. Also, believe Snowbird Advisor may offer a competitive edge over other available options."
Convenient and effective way to get…,"Convenient and effective way to get travel insurance for people within the stability period. Reasonably priced and friendly, no pressure company representatives."
Great value,Great value! Very easy to apply online and print policy from the comfort of your home. Prices are reasonable and affordable.
She just made it easy,She just made it easy
Online Very Easy to apply,"Excellent. Have purchased previously. Fortunately have not had a claim, but reassuring that Snowbird has me covered.
Ease of completing the online application"
Easy navigation,"Easy navigation, information was understandable, good stuff!"
Good Experience when additional insurance needed,Snowbird advisor was very quick to respond to our needs. The process was effortless and provided what we needed to extend our vacation. The agent was very helpful and pleasant to deal with.
It happened,"Date of experience: February 21, 2025"
The online application was very user…,The online application was very user friendly especially for an elderly person
Immediate service and a knowledgeable…,Immediate service and a knowledgeable and polite representative named Samantha
What made my experience Great was José,"What made my experience Great was José, the representative that answered the phone. He took his time he was patient and empathetic very knowledgeable. He clarified any questions I had after trying to do the online form. He took the time to do it over the phone with me to make sure it was done, right. So at that point I was very impressed with the company. I did forward additional information just in case to make sure I was covered in the next representative that I talked to Wasn’t as helpful as Jose so I’ll have to contact the company again which was frustrating. But I will say, Jose is an asset to your company, and it was a pleasure talking with him."
Very knowledgeable and had great advice,Very knowledgeable and had great advice
Understanding my situation since I have…,Understanding my situation since I have macular degeneration and often instead of reading something I like to have explained to me. This was down very well.
Jenny was very helpful.,"Date of experience: February 16, 2025"
"Everything was fine, but a litle expensive!",Everything was fine. I have used Snowbird Insurance before. My only problem is that I find it expensive.
The advisor was very efficient &…,The advisor was very efficient & friendly
Very pleasant and knowledgeable staff,"Very pleasant and knowledgeable staff
Easy to understand previous conditions"
It was fast and easy to do,"It was fast and easy to do, and the price was right for this trip for emergency medical."
Good communication & comprehension from…,Good communication & comprehension from your staff.
Easy process,I have previously used Snowbird Advisor insurance. It was an easy process over the phone. My representative was friendly and very professional.
I was happy with the policy and…,I was happy with the policy and coverage.
Easy to use the application site!,Easy to use the application site!
Totally pleasant experience,Willing to make changes for my unforseen situation with no financial implications. Personable phone experience; was not rushed. Good pricing. The questinnaire was short and simple (I have experienced some convoluted questions with other isurers ) would definitely reccommed and be a customer in the future.
First time using this company …,First time using Snowbirds Advisor Insurance quick and easy over the phone happy with the price feel comfortable to travel with this company
Disclose everything,Go the insurance for me fast and down to earth
GREAT AGENT,"my agent made it very very easy to obtain insurance for myself and my husband

FAIRLY GOOD RATES"
So far…..,"So far, the experience has been great. The agent I dealt with( Crystal), was excellent. Very patient, understanding, knowledgeable, and very personable."
Got to talk to someone right away,"Got to talk to someone right away, which is unusual these days --- very much appreciated. The sales representative very professional and helpful."
Easy shopping,"Easy shopping , great price."
Tiffany was very patient and informed,Tiffany was very patient and informed. Pleasant experience for sure
Knowledgeable and helpful,Knowledgeable and helpful
Your rep Assia was extremely helpful,"Your rep Assia was extremely helpful
And patient for us to understand everything
You prices are very competitive
Same experience last year when we booked with you."
I am impressed with the policy that we…,I am impressed with the policy that we purchased. It is perfect for seniors.
Great service!,"The agent that assisted us was personable, knowledgeable and efficient."
Interviewers knew their stuff,"Date of experience: February 12, 2025"
The representative was professional,"The representative was professional, courteous and expedient."
Best price out there for 71 YO…,"Best price out there for 71 YO traveller with no health issues or medications, easy to complete application and purchase."
Easy online instructions,Online easy to follow instructions. Great price.
Courteous on the phone,"Courteous on the phone, spent time answering my multiple questions, provided a quote, explained health questionnaire, good annual fee with availability to purchase top up days as my travels will be over 60 days"
my questions were answered promptly and…,"my questions were answered promptly and to sign up for the insurance was good and fast
Thank you

Elke"
Easy and economical,Easy to process and a great price!!
We decided to extend our stay in USA…,"We decided to extend our stay in USA due to health conditions of friends. When we called for extended coverage the agent was very pleasant in granting our needs. It was great to have such ""smooth"" service."
Staff knowledgeable and efficient,Staff knowledgeable and efficient. Everything done in no time and price was reasonable
Snowbird insurance and phone plans have proved to be good value and easy to access,Snowbird insurance
The agent that helped me was very…,The agent that helped me was very patient and resourceful.
Great Service! The agent at Snowbird Advisor was very…,The agent at Snowbird Advisor was very knowledgeable and helpful. The price of travel insurance is reasonable too.
Easy to complete and do online,Easy to complete and do online. Fair/competitive prices.
Professional and great experience,"Professional, English speaking and fast!"
Excellent service provided by the…,"Excellent service provided by the representative. He was very professional, courteous and took the time to fully understand our specific needs. The process of buying the plan was very simple - overall a very positive experience."
good service,"Date of experience: February 08, 2025"
Clear questions.,"Clear questions.
Easy to use format"
Happy travelling ahead!,"The agents that handled our initial enquires were very helpful, and we received our quotes quickly by email.
The pricing of the policies was very reasonable and cemented our choice. We highly recommend this Canadian company."
The format is easy to follow,The format is easy to follow. Breaking choices into two categories at the start is a great feature. The questions for Standard are well structured.
Got a better price than my current…,Got a better price than my current policy wth another provider
excellent experience setting up travel insurance,We received very clear answers to our questions. The agents were very patient and they clearly explained the process.
I always research travel insurance…,I always research travel insurance before each trip and usually end up getting Snowbird Insurance because of the coverage and cost
Goog clear English spoken everytime,"Quick to connect on the phone, English spoken is clear and understandable, quick with a quote, fast with an email. Thanks,good job"
Good,Pleasant server
Good customer service,Good customer service
Reasonable priced insurance.,"The agent was very helpful,explained all the parts of the policy.
The agent could speak good clear English.
Price was responsible, your deductible lowers fee.
Purchased policies at the same time
Very happy ¡
Jack."
"Great staff,straight forward and…","Great staff,straight forward and friendly"
Great service.,"Great service.
Chad could answer all of my questions."
The advisor explained things very well,"The advisor explained things very well
Also friendly"
clear information…,information seemed complete an straightforward.
Prompt response.,Information was clear. Response was prompt. Agent(s) was (were) friendly and informative. Ensured the quote was the most appropriate for me.
Easy to complete buying,"Easy to complete buying, friendly and helpful associates."
It was fast and easy,It was fast and easy. The website was easy to use and I thought that pricing was very competitive.
"It was very easy to fill out the questionnaire to get the quote, it didn't take long to get it. I was very pleased with the quote and purchased the insurance.","The experience was easy, not long, great price and I purchased the insurance."
Worth looking into,One line application was easy to follow with quick results. The price was less than most of the other companies I compared to.
I called to make sure that the info I…,I called to make sure that the info I received was in fact what I had ordered. The agent I spoke with was polite and explained everything to my understanding.
Very very professional able to get my…,Very very professional able to get my insurance at a fair reasonable rate thank you for your help. Also a very nice person. Thank you.
Friendly and knowledgeable personnel,Friendly and knowledgeable personnel. Good price
Happy with purchase.,The agent was very personable and was able to answer any questions I had.
All worked fast,"Date of experience: February 02, 2025"
The online process was very quick and…,The online process was very quick and easy. The pricing was very competitive (better than most I researched).
The application was easy and the rate…,The application was easy and the rate was very competitive.
Easy interface,"Easy interface, logical layout. One-stop site for travel insurance."
simple & straightforward,"I am a repeat customer as online quote makes it easy to explore options and find the correct coverage . Pricing is competitive, recommend investigating"
Poor service and lack of proper…,Poor service and lack of proper understanding and communication skills
Very friendly representative,Very friendly representative
Great person to deal with on phone..,Very easy to deal with!!
Personal Service,"Quick, efficient, polite, helpful and personal service! Thank you!"
Ask questions,The initial estimate was correct and when we went to confirm and pay we were told by another broker that it was incorrect and that we would have to procure insurance for the whole period as opposed to the period we were looking for. Thankfully my wife did not take this as an option and contacted another broker who told us that the initial quote was correct and that could procure insurance for the period we had intended.
Great experience,The person I spoke with was excellent. She explained everything well as I was calling about a pre-existing condition. We went through the questions and in very little time I got my insurance. I will recommend the Snowbird Advisory Insurance to all my friends.
Easy and Affordable,"The online quote process was easy to follow and complete. Moreover, the price quoted was more than competitive with other providers. I was particularly pleased to read that the medical travel policy is underwritten by Manulife. The real proof, of course, depends on the quality of service in the event of a medial emergency. Here's hoping it doesn't happen but if so, that the policy will be dealt with swiftly, respectfully and appropriately."
"Very reliable ,helped me with insurance…","Very reliable ,helped me with insurance at a very reasonable rate"
Very patient and helped us using this…,Very patient and helped us using this for first time
It was easy to get emergency medical…,"It was easy to get emergency medical insurance, with no medical exemption period online. The only concern was trying to get cancellation coverage at the same time. I had to call for this. Connecting with an agent was fast and she was extremely pleasant and helpful. Overall, a great experience."
Great service,"The customer service rep I had my call with was friendly, helpful and very knowledgeable. This is my second time purchasing travel insurance and she made it very fluid and it was very straightforward."
Friendly accommodating.,Friendly accommodating.
Good prices and easy to order online.,"Date of experience: January 28, 2025"
So easy to navigate your website and…,"So easy to navigate your website and questionnaire.
Always the best rates !!"
The pages were slow going through,"The pages were slow going through
Not sure if was my internet connection.
Everything was easy."
very easy to apply for travel insurance…,very easy to apply for travel insurance Thanks
Easy process to book,Clear steps to identify existing health issues plus to understand everything about coverage
Virtually no waiting on the phone,"Virtually no waiting on the phone, got our quote quickly and received our policy via email. Super easy process."
Easy to use website,"Easy to use website
Reasonable prices"
Good Experience,"The agent, Patty, was extremely knowledgeable, professional and personable. I had an issue trying to apply on-line, but Patty was able to take care of everything very quickly. A great introduction to dealing with this company."
I have used your company before and the…,I have used your company before and the experience has always been good.
Fast and very easy to get travel…,Fast and very easy to get travel insurance. I would recommend it to everyone
The representative answered all…,The representative answered all questions in a very clear manner.
Number 1 in my books.,I am always pleased each time I call and talk to a representative re insurance needs....I always do a quick check on other companies and what they are asking premium wise before calling and know that they have the best rates around.
Easy to navigate website,Easy to navigate website. Competitive pricing
Not having to answer the same question…,Not having to answer the same question about my health 4 or 5 times.
Very helpful rep,"Date of experience: January 31, 2025"
Easy to use staff answered all questions,Easy to use staff answered all questions
User friendly app,User friendly app. Competitive pricing.
My initial questions were answered…,My initial questions were answered promptly and courteously by agent
Good coverage,"Good coverage, great rates, very knowledgeable, helpful agent answered all my questions.
A great find!"
Fast easy,"Fast easy, allowed a less than 90 day condition"
The agent was helpful,The agent was helpful. Listened to what I had to say and clarified what was needed from me.
Great rates,"I have used this company many times. My rates are always top notch as I have no issues.
my husband has a couple issues and this company is the best I have ever found
I will continue to use them for every trip"
Competitive insurance price,Same price as another insurance company so I decided to go with snowbird association
Good Rates & Good People,"People are nice, rates are good, but your systems have been down the last two calls (i.e., October & January). In October when I renewed my annual travel insurance, it took almost a week to finalize the insurance, and luckily I had some time before departure! The recent call in January to add some extended insurance, the Agent had to pass me directly to the insurance provider."
Wish you would send a 30 day advice of…,Wish you would send a 30 day advice of renewal pending note.
Easy Experience,Very easy to do online and gives you options on the plans you choose
Snowbird Insurance is my go to travel…,Snowbird Insurance is my go to travel insurance company. Reasonably priced and complete coverage v
Excellent customer service along with…,Excellent customer service along with type of coverage was very reasonable
Easy online application,"Date of experience: January 24, 2025"
Great Customer Service,Crystal was excellent on the phone. Guided me through the process and made constructive suggestions about whether I should buy single or annual policy. Also very approachable.
Application process was easy,Application process was easy. Service representative was quick to respond and pleasant to interact with. Hopefully the process will be equally as accommodating in the event of unanticipated medical events while traveling.
Great customer service,"Date of experience: January 23, 2025"
Very friendly helpful agent,Very friendly helpful agent. I learned things I had never been told before about how the different policies work.
Pricing,Didn’t receive my policy??
The person that helped me was excellent.,"Date of experience: January 28, 2025"
your telephone rep could be a little…,your telephone rep could be a little more experienced at her job.
Fairly quick process.,It was a relative short questionnaire by the agent who was very polite and personable. The rate was slightly less than our previous supplier of travel insurance.
Was great start to finish,"Was great start to finish. Covers everything. They answered the phone on first ring, very helpful, had everything done within ten minutes."
Clear thourough,"Date of experience: January 23, 2025"
Rep was outstanding,Rep was outstanding. She took the time to find a plan that provided the coverage we needed for our 2 months in Mexico at a price that wasn’t outrageous
Speedy coverage for preexisting conditions.,Speedy coverage. Professional courteous and knowledgeable personnel but very hard to reach by phone.
3rd Year Using,Excellent process from start to finish
Easy to apply for insurance.,"Date of experience: January 27, 2025"
Good service and glad to find best options for the customer,Patty was very knowledgable and handled our insurance requirements well.
Recommended,Good and helpful
It was fast,"It was fast , easy to digest and very good pricing! Thankyou"
Agent was very patient,Agent was very patient
Easy to use website,"Date of experience: January 21, 2025"
Quick and easy!,"Date of experience: January 26, 2025"
Informative,"Informative, polite and helpful. Not to pushy. Can review and cancel within a time period of?"
Easy and fast quote and purchase,Easy and fast quote and purchase. Still best and most affordable option for travel insurance
Don’t like reviews if I was unhappy you…,Don’t like reviews if I was unhappy you would know
Both people I spoke to were friendly…,"Both people I spoke to were friendly and knowledgeable AND very personable. Great jobs by both
One was Theresa but cannot remember the other one.tl
Good job!"
The representative was very…,"The representative was very professional, thorough and extremely pleasant to deal with while asking the necessary medical questions, closing with the warning cautions. My experience has been refreshing to say the least. Thank you the privilege is mine."
Very informative representatives,"Very informative representatives, and quick with suggestions and responses to questions. Coverage seems better than other quotes we received, and the bonus it was the lowest quote of all other companies."
Simple way to get travel medical…,Simple way to get travel medical insurance
thank you for your help,thank you for your help
Very easy to use & great price,"Date of experience: January 25, 2025"
I found I was treated very kind and…,I found I was treated very kind and helpful
Good old fashion “First Class Service! ent…,"We wanted to share our recent experience with booking our Snowbird advisory travel insurance. It was a first class experience. The two telephone advisory gentlemen we spoke too were very professional, courtesy, and helpful in providing us with valuable information allowing us make our decision to proceed with purchasing our travel insurance. In fact my wife and I both commented it was the best experience we ever had with purchasing any kind of service on the phone. Unfortunately we don’t recall the name of our second advisor but Chad was the first and main one we dealt with. Congrats and thank you!"
Great service & prices,"Great service & prices, so"
Excellent!!,"Our experience with Assia has been fantastic so far. She followed up at the exact time planned. She was very efficient and we feel confident that we will be looked after if need be, on our vacation."
Title,Really good!
Samantha was extremely helpful,"Date of experience: January 24, 2025"
It is always an easy process to book…,It is always an easy process to book insurance and get answers to questions. Agents are extremely helpful. We haven't had to use it yet so can't comment on that part.
Ruth was patient,"Ruth was patient, knowledgeable - was very helpful.
I would contact Snowbird again"
It was easy,"It was easy, straightforward and no hassle like other companies."
Pleasant To Deal With!,"Karen (?) was very informative and helpful when deciding what plan to chose from. Was polite & courteous, and we were able to UNDERSTAND! So many of the ""CALL Centres"" that businesses are using today have people that are difficult to understand because of the VERY HEAVY ACCENTS !"
Easy to deal with..,"Polite, knowledgeable, representative. Comfortable to deal with.
Only problem I had, the confirmation of my insurance went into my “junk mail” and not into the received “In box”
Maybe reminder to include your company in the contact list would have helped me.
(My problem)"
First of all the person who took my…,"First of all the person who took my call was courteous and made it know that he was there to help with what ever my request was. He was very efficient at answering any questions I had regarding to my request for insurance coverage. This gave me confidence in his ability to do just that. And I was not disappointed! This I know for certain, I would not hesitate to use your services again. I was won over by his ability to answer all my questions and to the business at hand."
Excellent Service,"Worked with me diligently to provide me with the exact insurance I needed. And friendly, professional and caring the whole way through."
Great,"Simple, step by step questions and clear instructions."
Courteous and Knowledgeable staff,Courteous and Knowledgeable staff. Easy process
Great value,"Polite, knowledgeable and helpful service. Best prices around."
Chris was very professional /…,Chris was very professional / knowledgeable and pleasant to deal with.
Affordable and reliable coverage for…,Affordable and reliable coverage for seniors.
Got on my on line,Was less stressful than talking to an agent. Everything and all questions were simple and to the point. I like to see this easy way of getting Insurance
Easy to use online and low price.,Easy to use online and low price.
We got a quote online and had to call…,We got a quote online and had to call as we had a few questions. Operator was helpful and knowledgeable. Great experience!
The cost for the policy,"Date of experience: January 22, 2025"
Great price!,"Easy to maneuver the site, questions were in layman’s terms, good price."
relatively cumbersome but seems to be good value,"relatively cumbersome to navigate thru the questions (primarily due to the medical q & a), but in the end I am very happy with the cost to acquire. I hope I have the same positive feeling should I unfortunately need to make a claim on the insurance."
Customer Service was very helpful.,"Date of experience: January 22, 2025"
It was an easy process.,"Date of experience: January 22, 2025"
The site was easy to navigate with…,The site was easy to navigate with straight forward questions. The quote was received very fast and the whole process was completed in no time at all. the documents were emailed to me within a couple of minutes. Thanks
The customer service staff are…,"The customer service staff are friendly, but it seems that it depends on which staff member you talk to you get either different questions or they do not understand what the customer is attempting to explain."
The agent I talked to was amazing,The agent I talked to was amazing! She was extremely helpful and explained every step we took!
Helpful and knowledgeable staff,Helpful and knowledgeable staff
Customer Service...,"I had to call in with a couple of questions and it was no problem for them to help answer.
Excellent to deal with."
Easy to book on line with good prices,"Date of experience: January 16, 2025"
Great option for travel insurance,"This is the second purchase I have made for travel insurance with this company.
The application process and the cost associated with this policy are both very reasonable , easy and fair. Though I happily did not have to use the policy for payout / healthcare on my first trip and hope this next trip is the same, I just had/have much greater peace of mind having purchased the policy/extra coverage."
The person we dealt with was patient,"The person we dealt with was patient, kind and knowledgeable."
simple and efficient online process,simple and efficient online process
Easy communication and purchase,Easy communication and purchase
Friendly and efficient service and on…,Friendly and efficient service and on boarding made easy.
Everything was easy and went smoothly,Everything was easy and went smoothly. The cost was reasonable also.
Your staff member did a great job helping me.,Your staff member was a big help.
Efficient collection of all required…,Efficient collection of all required data. We were surprised at how expensive health insurance has become. Nasty surprise.
Call was immediately answered and we…,Call was immediately answered and we were able to go through the renewal process quickly. They made sure I understood everything and provided options. Any questions I asked were answered clearly.
Friendly person to talk to,Friendly person to talk to
"Pre-Existing Conditions not Stable, No Problem",I needed pre-existing non stable coverage. Agent asked a series of questions and gave me a quote that was less than expected. Excellent service so far!
good deal for seniors,easy to apply
I was happy to understand what they…,"I was happy to understand what they told even when they had to explain it more for me,she and he were fantastic
This company is the best,I was so happy that I didn't have to pay a big prices thank yous for having patience with me"
You responded to our calls immediately,You responded to our calls immediately
Ease of arranging insurance,Ease of arranging insurance. Speaking to a live person.
Great customer service,Great customer service. Quick and easy to purchase travel insurance with best rate.
Easy to get the needed insurance,Easy to get the needed insurance
Process was good-- as I said I got the insurance. Making and settling a claim would be the true test and I hope I wont need to do that.,"Process was good. . I got the insurance, at a good price and without much time spent doing it."
Love Snowbird Advisor!,Our agent was extremely polite and very helpful in getting us the packages that we needed to go on vacation
Fast response,"Fast response, value for the dollar.
My credit card insurance wouldn’t cover me on my upcoming trip due to a steroid I was prescribed 2 months earlier for a simple chest cold.
Snowbird Insurance asked us a few questions, then gave us a reasonable rate to cover me for the 21 day trip.
Very satisfied."
My premium went up,My premium went up. No change in meds. Why?
Very efficient and excellent price.,"Date of experience: January 14, 2025"
Quick renewal no hassles loved it,"Date of experience: January 14, 2025"
The staff was knowledge and very…,The staff was knowledge and very professional. Was able to answer all our questions and we were able to make a decision and finish our transaction in the same call. Thanks.
Helpful Agent,"Agent very knowledgeable and helpful to get the right plan for our trip. Used many times, never had a claim so cannot comment on that."
Fast,"Fast, efficient service and friendly too."
Easy to answer the questions,Easy to answer the questions
The gentleman on the phone was vert…,The gentleman on the phone was vert professional we got disconnected and he called me back instantly that was so nice.
It was just a quick phone call to add a…,It was just a quick phone call to add a preexisting that I had accidentally omited
Quick,"Quick, knew the policy, friendly and efficient."
Excellent service and help from thé…,"Excellent service and help from thé Agent
She is compétent and knows her product ..
I will trust and use Snowbirds …. Again
Thank you"
Advisor was very professional and…,Advisor was very professional and personable. Able to answer my questions and assisted with completing the forms. Would definitely use this site again.
Travel insurance,"We have been getting our travel insurance from the Snowbird Advisor Insurance, for the last few years, who are very competitive and self explanatory !!"
Very easy to obtain a quote and great…,Very easy to obtain a quote and great price
Quick response,Quick response. Very courteous and professional service. First time user. Product appears to check all our boxes and at a reasonable rate.
Some of the medical questions are…,"Some of the medical questions are unreasonable.For example, the one on skin tags. Also re rise in cholesterol levels, if stable for many years why up the charges."
The rate was the best that I found,The rate was the best that I found. Website was easy to navigate and medical questions were straightforward and clear.
The agent was very helpful in setting…,The agent was very helpful in setting up our plans
Samantha was my phone representative…,Samantha was my phone representative and the experience was very pleasant. The technical quality of your phone system is excellent and her voice was as clear as a bell both times that I spoke to her on the phone. Samantha was very reassuring and helpful and patient with me when trying to answer so many questions that your forms require. Excellent service!
Peace of mind.,Easy process. Good insurance. Reasonable price.
Gentlemen I spoke too were very helpful…,Gentlemen I spoke too were very helpful informative and patient.
Perfect,"Fast, convenient for a good price"
Representative was most helpful,Representative was most helpful
Smooth and simple,"Smooth and simple, easy to navigate. Good price"
Chris Pike was excellent.,"Date of experience: January 15, 2025"
The agent was great .,The agent was fantastic .
Provides helpful information and are…,Provides helpful information and are responsive when addressing questions.
Don’t know,"Don’t know, haven’t travelled yet but happy with phone info and service, awaiting hard copy by mail, must have asap. Travelling soon…….Thankyou"
Questionnaire was easy to maneuver and…,Questionnaire was easy to maneuver and the price was cheaper by a few dollars than CAA's membership quote.
Very thorough and explained it well,"Date of experience: January 10, 2025"
The interview and purchase was simple…,"The interview and purchase was simple and straightforward. Although I thought the parameters and timelines for existing conditions were a little odd, ie happened before or after 6 weeks? When the issue was 12 years prior."
Great customer service love how the…,Great customer service love how the cost is low and efficient the coverage is great
Easy and affordable,"Date of experience: January 14, 2025"
Quick and easy travel insurance,"It was relatively easy and quick to sign up for insurance; it is difficult to find adequate insurance if one has a pre-existing condition, especially one that is not considered ""stable""."
Very clear and thorough explanation of…,Very clear and thorough explanation of coverage. The agents were pleasant and efficient.
First-timer but certainly a repeat customer!,Your agent was extremely helpful and your website is very easy to use. So happy to have discovered you and looking forward to using you again.
