,score,review,date,pos,neg,neu,compound,year,month
51,-1,The service representative was great  The person was patient  helpful and friendly  I do have one suggestion which is for all companies who offer travel insurance  Many of us have separate emergency medical insurance already  We are looking for trip cancellation  trip interruption  and baggage lost and or delayed coverage as a conclusive package  No company offers such an inclusive trip cancellation  trip interruption  baggage lost delayed without the medical coverage  Snowbirds Advisor Insurance  why not be the first ,2021-08-23,0.105,0.189,0.706,-0.6249,2021,2021-08
52,1,Friendly phone attendant  quick quote provided  Thanks ,2020-11-11,0.55,0.0,0.45,0.7269,2020,2020-11
53,1,The person I spoke with was very helpful and spent time to explain everything to me ,2020-01-14,0.171,0.0,0.829,0.4754,2020,2020-01
54,0,Able to complete all in one phone call ,2020-08-29,0.0,0.0,1.0,0.0,2020,2020-08
55,1,Great communication  Careful listening to understand our needs  Careful explanation of how our needs could be met  Careful explanation of advantage of underwritten policies  Positive outcome of coverage ,2022-02-15,0.397,0.0,0.603,0.91,2022,2022-02
56,1,Each person we have dealt with has been great  Courteous  helpful  great suggestions and well informed  We used to be with Medipac for years  We prefer this company ,2023-10-01,0.416,0.0,0.584,0.9468,2023,2023-10
57,1,Straightforward process  competitive rates and easy to follow ,2021-07-18,0.434,0.0,0.566,0.5574,2021,2021-07
58,1,Customer service is excellent  representatives are very courteous and patient  They are very thorough ,2022-06-16,0.378,0.0,0.622,0.807,2022,2022-06
59,1,This was my third time purchasing a policy and it was not a good experience  First I tried the online application  as I had in the past  and things kept freezing  So I called  got a quote and said I would continue searching  Called back to purchase the policy as quoted  and the rep  I had asked for Adam as that was the name I had written  was not the original one  This fellow was basically unintelligible  and garbled to the point the he sounded impaired  As a result he could not locate the quote even with a file   and said he would get back to me  In the meantime  I went back online and successfully obtained the required insurance  To his credit  he did call me back to ask if I actually got a quote from  us  as he couldn t find it  Told him not worry as I had already made the purchase  You provide great policies  but do need to better screen your sales reps ,2023-09-25,0.068,0.025,0.907,0.8234,2023,2023-09
60,1,The customer agent was very nice and helpful she went through all the medical questions and explained when I asked,2020-04-01,0.255,0.0,0.745,0.7316,2020,2020-04
61,1,Our customer service representative was wonderful,2023-10-22,0.425,0.0,0.575,0.5719,2023,2023-10
62,1,Fast efficient service,2022-08-13,0.583,0.0,0.417,0.4215,2022,2022-08
63,1,Easy to answering to the questioner  Friendly people who answered to questions and give the valuable information ,2023-12-22,0.397,0.0,0.603,0.8481,2023,2023-12
64,1,Crystal was very helpful and friendly on the phone,2021-05-23,0.484,0.0,0.516,0.762,2021,2021-05
65,1,The online enrolment process was extremely easy to follow for a senior like myself  The premium was very competitive too ,2022-02-14,0.311,0.0,0.689,0.7708,2022,2022-02
66,1,The rep  was helpful and polite  It took very little time to complete the process and have the policy info in my inbox ,2020-02-04,0.113,0.0,0.887,0.4215,2020,2020-02
67,1,Easy and efficient,2020-07-24,0.851,0.0,0.149,0.6908,2020,2020-07
68,1,Price was good,2023-01-09,0.592,0.0,0.408,0.4404,2023,2023-01
69,1,Best price I could find  One can only rate any insurance based on when if a claim is needed  Until then  it s a gamble with any company ,2023-11-12,0.135,0.0,0.865,0.6369,2023,2023-11
70,1,Call was answered quickly by a live person  All staff were polite  friendly and helpful  The ability to input the credit card to pay for the policy was over the top useless  Declined my card after each try  Had to call my bank    that call was a twenty min wait  then had to transferred to someone else  another ten min wait  Found that because there was an error in the first time i entered my card number  tour system would not let any or the other entries go through so all declined   If the system is intended to be used that way to recieve credit card numbers  it is not worth it ,2022-10-22,0.132,0.068,0.801,0.7926,2022,2022-10
71,0,Customer Service Reps very patient to explain products,2022-10-18,0.0,0.0,1.0,0.0,2022,2022-10
72,1,I spoke to a very helpful person  who guided me through the whole process and made processing and paying very easy,2023-11-14,0.249,0.0,0.751,0.742,2023,2023-11
73,1,My wife spoke with Erica who was very congenial and helpful She made the conversation very easy This is the third time we have used Snowbird Insurance but luckily have not had to make a claim,2021-07-19,0.206,0.0,0.794,0.8214,2021,2021-07
74,1,All customer agents were professional and very knowledgeable in advising insurance needs that best suited my situation  Also  believe Snowbird Advisor may offer a competitive edge over other available options ,2023-02-03,0.174,0.0,0.826,0.7096,2023,2023-02
75,1,Convenient and effective way to get travel insurance for people within the stability period  Reasonably priced and friendly  no pressure company representatives ,2021-12-03,0.301,0.0,0.699,0.8013,2021,2021-12
76,1,Great value  Very easy to apply online and print policy from the comfort of your home  Prices are reasonable and affordable ,2021-02-05,0.418,0.0,0.582,0.9041,2021,2021-02
77,1,She just made it easy,2021-12-30,0.42,0.0,0.58,0.4404,2021,2021-12
78,1,Excellent  Have purchased previously  Fortunately have not had a claim  but reassuring that Snowbird has me covered  Ease of completing the online application,2020-06-10,0.314,0.0,0.686,0.8462,2020,2020-06
79,1,Easy navigation  information was understandable  good stuff ,2020-07-20,0.537,0.0,0.463,0.7003,2020,2020-07
80,1,Snowbird advisor was very quick to respond to our needs  The process was effortless and provided what we needed to extend our vacation  The agent was very helpful and pleasant to deal with ,2022-09-22,0.218,0.0,0.782,0.8104,2022,2022-09
81,0,It happened,2020-09-26,0.0,0.0,1.0,0.0,2020,2020-09
82,1,The online application was very user friendly especially for an elderly person,2022-03-26,0.24,0.0,0.76,0.539,2022,2022-03
83,0,Immediate service and a knowledgeable and polite representative named Samantha,2023-07-18,0.0,0.0,1.0,0.0,2023,2023-07
84,1,What made my experience Great was Jos   the representative that answered the phone  He took his time he was patient and empathetic very knowledgeable  He clarified any questions I had after trying to do the online form  He took the time to do it over the phone with me to make sure it was done  right  So at that point I was very impressed with the company  I did forward additional information just in case to make sure I was covered in the next representative that I talked to Wasn t as helpful as Jose so I ll have to contact the company again which was frustrating  But I will say  Jose is an asset to your company  and it was a pleasure talking with him ,2021-03-31,0.145,0.014,0.841,0.9446,2021,2021-03
85,1,Very knowledgeable and had great advice,2023-06-29,0.451,0.0,0.549,0.6249,2023,2023-06
86,1,Understanding my situation since I have macular degeneration and often instead of reading something I like to have explained to me  This was down very well ,2022-10-13,0.169,0.0,0.831,0.5984,2022,2022-10
87,1,Jenny was very helpful ,2020-10-22,0.508,0.0,0.492,0.4754,2020,2020-10
88,-1,Everything was fine  I have used Snowbird Insurance before  My only problem is that I find it expensive ,2021-12-20,0.088,0.132,0.78,-0.2263,2021,2021-12
89,1,The advisor was very efficient   friendly,2020-12-03,0.622,0.0,0.378,0.763,2020,2020-12
90,1,Very pleasant and knowledgeable staff Easy to understand previous conditions,2022-05-28,0.448,0.0,0.552,0.7574,2022,2022-05
91,1,It was fast and easy to do  and the price was right for this trip for emergency medical ,2022-12-12,0.135,0.121,0.744,0.0772,2022,2022-12
92,1,Good communication   comprehension from your staff ,2022-03-02,0.367,0.0,0.633,0.4404,2022,2022-03
93,1,I have previously used Snowbird Advisor insurance  It was an easy process over the phone  My representative was friendly and very professional ,2020-08-04,0.234,0.0,0.766,0.7269,2020,2020-08
94,1,I was happy with the policy and coverage ,2022-02-02,0.346,0.0,0.654,0.5719,2022,2022-02
95,1,Easy to use the application site ,2020-07-06,0.367,0.0,0.633,0.4404,2020,2020-07
96,-1,Willing to make changes for my unforseen situation with no financial implications  Personable phone experience  was not rushed  Good pricing  The questinnaire was short and simple  I have experienced some convoluted questions with other isurers   would definitely reccommed and be a customer in the future ,2021-01-14,0.055,0.093,0.852,-0.2278,2021,2021-01
97,1,First time using Snowbirds Advisor Insurance quick and easy over the phone happy with the price feel comfortable to travel with this company,2021-05-07,0.331,0.0,0.669,0.872,2021,2021-05
98,0,Go the insurance for me fast and down to earth,2022-11-30,0.0,0.0,1.0,0.0,2022,2022-11
99,1,my agent made it very very easy to obtain insurance for myself and my husband  FAIRLY GOOD RATES,2023-03-26,0.307,0.0,0.693,0.7966,2023,2023-03
100,1,So far  the experience has been great  The agent I dealt with  Crystal   was excellent  Very patient  understanding  knowledgeable  and very personable ,2020-01-15,0.281,0.0,0.719,0.8316,2020,2020-01
101,1,Got to talk to someone right away  which is unusual these days     very much appreciated  The sales representative very professional and helpful ,2020-03-05,0.249,0.0,0.751,0.7678,2020,2020-03
102,1,Easy shopping   great price ,2021-06-04,0.778,0.0,0.222,0.7906,2021,2021-06
103,1,Tiffany was very patient and informed  Pleasant experience for sure,2023-09-29,0.412,0.0,0.588,0.6808,2023,2023-09
104,1,Knowledgeable and helpful,2023-02-26,0.583,0.0,0.417,0.4215,2023,2023-02
105,1,Your rep Assia was extremely helpful And patient for us to understand everything You prices are very competitive Same experience last year when we booked with you ,2021-10-09,0.169,0.0,0.831,0.6232,2021,2021-10
106,1,I am impressed with the policy that we purchased  It is perfect for seniors ,2022-12-22,0.362,0.0,0.638,0.7783,2022,2022-12
107,1,The agent that assisted us was personable  knowledgeable and efficient ,2023-03-08,0.237,0.0,0.763,0.4215,2023,2023-03
108,0,Interviewers knew their stuff,2021-08-15,0.0,0.0,1.0,0.0,2021,2021-08
109,1,The representative was professional  courteous and expedient ,2021-01-26,0.355,0.0,0.645,0.5106,2021,2021-01
110,1,Best price out there for    YO traveller with no health issues or medications  easy to complete application and purchase ,2021-02-22,0.281,0.087,0.632,0.7096,2021,2021-02
111,1,Online easy to follow instructions  Great price ,2020-10-15,0.583,0.0,0.417,0.7906,2020,2020-10
112,1,Courteous on the phone  spent time answering my multiple questions  provided a quote  explained health questionnaire  good annual fee with availability to purchase top up days as my travels will be over    days,2021-01-13,0.211,0.0,0.789,0.7906,2021,2021-01
113,1,my questions were answered promptly and to sign up for the insurance was good and fast Thank you  Elke,2020-08-18,0.241,0.0,0.759,0.6597,2020,2020-08
114,1,Easy to process and a great price  ,2022-10-14,0.583,0.0,0.417,0.7906,2022,2022-10
115,1,We decided to extend our stay in USA due to health conditions of friends  When we called for extended coverage the agent was very pleasant in granting our needs  It was great to have such  smooth  service ,2020-02-10,0.32,0.0,0.68,0.9332,2020,2020-02
116,1,Staff knowledgeable and efficient  Everything done in no time and price was reasonable,2022-11-17,0.175,0.138,0.688,0.1531,2022,2022-11
117,0,Snowbird insurance,2020-05-14,0.0,0.0,1.0,0.0,2020,2020-05
118,0,The agent that helped me was very patient and resourceful ,2020-07-19,0.0,0.0,1.0,0.0,2020,2020-07
119,1,The agent at Snowbird Advisor was very knowledgeable and helpful  The price of travel insurance is reasonable too ,2022-02-18,0.153,0.0,0.847,0.4703,2022,2022-02
120,1,Easy to complete and do online  Fair competitive prices ,2022-07-18,0.535,0.0,0.465,0.7096,2022,2022-07
121,0,Professional  English speaking and fast ,2022-11-22,0.0,0.0,1.0,0.0,2022,2022-11
122,1,Excellent service provided by the representative  He was very professional  courteous and took the time to fully understand our specific needs  The process of buying the plan was very simple   overall a very positive experience ,2022-12-07,0.259,0.0,0.741,0.9036,2022,2022-12
123,1,good service,2021-05-17,0.744,0.0,0.256,0.4404,2021,2021-05
124,1,Clear questions  Easy to use format,2021-02-10,0.579,0.0,0.421,0.6705,2021,2021-02
125,1,The agents that handled our initial enquires were very helpful  and we received our quotes quickly by email  The pricing of the policies was very reasonable and cemented our choice  We highly recommend this Canadian company ,2022-03-15,0.148,0.0,0.852,0.7083,2022,2022-03
126,1,The format is easy to follow  Breaking choices into two categories at the start is a great feature  The questions for Standard are well structured ,2020-04-08,0.293,0.0,0.707,0.8442,2020,2020-04
127,-1,Got a better price than my current policy wth another provider,2021-11-14,0.19,0.222,0.588,-0.128,2021,2021-11
128,1,We received very clear answers to our questions  The agents were very patient and they clearly explained the process ,2021-12-26,0.248,0.0,0.752,0.6801,2021,2021-12
129,0,I always research travel insurance before each trip and usually end up getting Snowbird Insurance because of the coverage and cost,2022-08-18,0.0,0.0,1.0,0.0,2022,2022-08
130,1,Quick to connect on the phone  English spoken is clear and understandable  quick with a quote  fast with an email  Thanks good job,2021-09-04,0.296,0.0,0.704,0.8126,2021,2021-09
131,1,Pleasant server,2021-10-04,0.767,0.0,0.233,0.5106,2021,2021-10
132,1,Good customer service,2022-10-25,0.592,0.0,0.408,0.4404,2022,2022-10
133,1,The agent was very helpful explained all the parts of the policy  The agent could speak good clear English  Price was responsible  your deductible lowers fee  Purchased policies at the same time Very happy   Jack ,2023-05-26,0.328,0.033,0.639,0.9244,2023,2023-05
134,1,Great staff straight forward and friendly,2021-05-17,0.754,0.0,0.246,0.8481,2021,2021-05
135,1,Great service  Chad could answer all of my questions ,2022-02-05,0.339,0.0,0.661,0.6249,2022,2022-02
136,1,The advisor explained things very well Also friendly,2021-02-01,0.494,0.0,0.506,0.7056,2021,2021-02
137,0,information seemed complete an straightforward ,2022-05-20,0.0,0.0,1.0,0.0,2022,2022-05
138,1,Information was clear  Response was prompt  Agent s  was  were  friendly and informative  Ensured the quote was the most appropriate for me ,2022-03-05,0.225,0.0,0.775,0.7003,2022,2022-03
139,1,Easy to complete buying  friendly and helpful associates ,2021-01-27,0.64,0.0,0.36,0.836,2021,2021-01
140,1,It was fast and easy  The website was easy to use and I thought that pricing was very competitive ,2020-07-25,0.328,0.0,0.672,0.7778,2020,2020-07
141,-1,The experience was easy  not long  great price and I purchased the insurance ,2022-11-04,0.169,0.192,0.64,-0.1012,2022,2022-11
142,1,One line application was easy to follow with quick results  The price was less than most of the other companies I compared to ,2022-06-10,0.116,0.0,0.884,0.4404,2022,2022-06
143,1,I called to make sure that the info I received was in fact what I had ordered  The agent I spoke with was polite and explained everything to my understanding ,2022-05-13,0.073,0.0,0.927,0.3182,2022,2022-05
144,1,Very very professional able to get my insurance at a fair reasonable rate thank you for your help  Also a very nice person  Thank you ,2022-01-12,0.4,0.0,0.6,0.9073,2022,2022-01
145,1,Friendly and knowledgeable personnel  Good price,2023-06-18,0.604,0.0,0.396,0.7269,2023,2023-06
146,0,The agent was very personable and was able to answer any questions I had ,2021-07-17,0.0,0.0,1.0,0.0,2021,2021-07
147,0,All worked fast,2022-10-17,0.0,0.0,1.0,0.0,2022,2022-10
148,1,The online process was very quick and easy  The pricing was very competitive  better than most I researched  ,2020-04-05,0.357,0.0,0.643,0.8092,2020,2020-04
149,1,The application was easy and the rate was very competitive ,2021-04-29,0.38,0.0,0.62,0.5984,2021,2021-04
150,1,Easy interface  logical layout  One stop site for travel insurance ,2023-12-01,0.221,0.168,0.611,0.1779,2023,2023-12
151,1,I am a repeat customer as online quote makes it easy to explore options and find the correct coverage   Pricing is competitive  recommend investigating,2020-08-18,0.253,0.0,0.747,0.7269,2020,2020-08
152,-1,Poor service and lack of proper understanding and communication skills,2022-01-18,0.0,0.403,0.597,-0.6597,2022,2022-01
153,1,Very friendly representative,2023-04-09,0.636,0.0,0.364,0.5413,2023,2023-04
154,1,Very easy to deal with  ,2021-06-24,0.444,0.0,0.556,0.4927,2021,2021-06
155,1,Quick  efficient  polite  helpful and personal service  Thank you ,2022-11-25,0.574,0.0,0.426,0.7964,2022,2022-11
156,1,The initial estimate was correct and when we went to confirm and pay we were told by another broker that it was incorrect and that we would have to procure insurance for the whole period as opposed to the period we were looking for  Thankfully my wife did not take this as an option and contacted another broker who told us that the initial quote was correct and that could procure insurance for the period we had intended ,2021-06-08,0.035,0.017,0.948,0.34,2021,2021-06
157,1,The person I spoke with was excellent  She explained everything well as I was calling about a pre existing condition  We went through the questions and in very little time I got my insurance  I will recommend the Snowbird Advisory Insurance to all my friends ,2023-03-29,0.218,0.0,0.782,0.886,2023,2023-03
158,1,The online quote process was easy to follow and complete  Moreover  the price quoted was more than competitive with other providers  I was particularly pleased to read that the medical travel policy is underwritten by Manulife  The real proof  of course  depends on the quality of service in the event of a medial emergency  Here s hoping it doesn t happen but if so  that the policy will be dealt with swiftly  respectfully and appropriately ,2023-06-20,0.165,0.022,0.814,0.8746,2023,2023-06
159,0,Very reliable  helped me with insurance at a very reasonable rate,2023-01-14,0.0,0.0,1.0,0.0,2023,2023-01
160,0,Very patient and helped us using this for first time,2021-07-31,0.0,0.0,1.0,0.0,2021,2021-07
161,1,It was easy to get emergency medical insurance  with no medical exemption period online  The only concern was trying to get cancellation coverage at the same time  I had to call for this  Connecting with an agent was fast and she was extremely pleasant and helpful  Overall  a great experience ,2021-11-12,0.219,0.077,0.704,0.8707,2021,2021-11
162,1,The customer service rep I had my call with was friendly  helpful and very knowledgeable  This is my second time purchasing travel insurance and she made it very fluid and it was very straightforward ,2021-07-10,0.158,0.0,0.842,0.7184,2021,2021-07
163,1,Friendly accommodating ,2022-10-09,0.762,0.0,0.238,0.4939,2022,2022-10
164,1,Good prices and easy to order online ,2021-10-07,0.537,0.0,0.463,0.7003,2021,2021-10
165,1,So easy to navigate your website and questionnaire  Always the best rates   ,2022-03-06,0.425,0.0,0.575,0.8122,2022,2022-03
166,1,The pages were slow going through Not sure if was my internet connection  Everything was easy ,2022-11-17,0.154,0.104,0.742,0.2354,2022,2022-11
167,1,very easy to apply for travel insurance Thanks,2023-09-25,0.504,0.0,0.496,0.7264,2023,2023-09
168,1,Clear steps to identify existing health issues plus to understand everything about coverage,2023-09-16,0.178,0.0,0.822,0.3818,2023,2023-09
169,1,Virtually no waiting on the phone  got our quote quickly and received our policy via email  Super easy process ,2023-10-03,0.272,0.088,0.64,0.6808,2023,2023-10
170,1,Easy to use website Reasonable prices,2023-06-08,0.367,0.0,0.633,0.4404,2023,2023-06
171,1,The agent  Patty  was extremely knowledgeable  professional and personable  I had an issue trying to apply on line  but Patty was able to take care of everything very quickly  A great introduction to dealing with this company ,2020-07-08,0.228,0.0,0.772,0.9071,2020,2020-07
172,1,I have used your company before and the experience has always been good ,2023-06-02,0.195,0.0,0.805,0.4404,2023,2023-06
173,1,Fast and very easy to get travel insurance  I would recommend it to everyone,2023-11-09,0.322,0.0,0.678,0.6901,2023,2023-11
174,1,The representative answered all questions in a very clear manner ,2023-11-01,0.243,0.0,0.757,0.4391,2023,2023-11
175,1,I am always pleased each time I call and talk to a representative re insurance needs    I always do a quick check on other companies and what they are asking premium wise before calling and know that they have the best rates around ,2023-07-30,0.203,0.0,0.797,0.8807,2023,2023-07
176,1,Easy to navigate website  Competitive pricing,2021-09-24,0.535,0.0,0.465,0.5574,2021,2021-09
177,0,Not having to answer the same question about my health   or   times ,2021-09-19,0.0,0.0,1.0,0.0,2021,2021-09
178,1,Very helpful rep,2022-08-30,0.607,0.0,0.393,0.4754,2022,2022-08
179,1,Easy to use staff answered all questions,2023-07-06,0.326,0.0,0.674,0.4404,2023,2023-07
180,1,User friendly app  Competitive pricing ,2023-10-14,0.62,0.0,0.38,0.5994,2023,2023-10
181,0,My initial questions were answered promptly and courteously by agent,2021-12-10,0.0,0.0,1.0,0.0,2021,2021-12
182,1,Good coverage  great rates  very knowledgeable  helpful agent answered all my questions  A great find ,2023-12-05,0.563,0.0,0.437,0.9346,2023,2023-12
183,1,Fast easy  allowed a less than    day condition,2021-10-10,0.293,0.0,0.707,0.4404,2021,2021-10
184,1,The agent was helpful  Listened to what I had to say and clarified what was needed from me ,2020-11-13,0.141,0.0,0.859,0.4215,2020,2020-11
185,1,I have used this company many times  My rates are always top notch as I have no issues  my husband has a couple issues and this company is the best I have ever found I will continue to use them for every trip,2023-06-02,0.124,0.046,0.83,0.5859,2023,2023-06
186,0,Same price as another insurance company so I decided to go with snowbird association,2023-06-11,0.0,0.0,1.0,0.0,2023,2023-06
187,1,People are nice  rates are good  but your systems have been down the last two calls  i e   October   January   In October when I renewed my annual travel insurance  it took almost a week to finalize the insurance  and luckily I had some time before departure  The recent call in January to add some extended insurance  the Agent had to pass me directly to the insurance provider ,2021-11-14,0.115,0.0,0.885,0.8074,2021,2021-11
188,1,Wish you would send a    day advice of renewal pending note ,2021-10-25,0.213,0.0,0.787,0.4019,2021,2021-10
189,1,Very easy to do online and gives you options on the plans you choose,2023-10-29,0.197,0.0,0.803,0.4927,2023,2023-10
190,0,Snowbird Insurance is my go to travel insurance company  Reasonably priced and complete coverage v,2023-06-10,0.0,0.0,1.0,0.0,2023,2023-06
191,1,Excellent customer service along with type of coverage was very reasonable,2023-02-10,0.27,0.0,0.73,0.5719,2023,2023-02
192,1,Easy online application,2021-03-17,0.592,0.0,0.408,0.4404,2021,2021-03
193,1,Crystal was excellent on the phone  Guided me through the process and made constructive suggestions about whether I should buy single or annual policy  Also very approachable ,2021-07-17,0.125,0.0,0.875,0.5719,2021,2021-07
194,1,Application process was easy  Service representative was quick to respond and pleasant to interact with  Hopefully the process will be equally as accommodating in the event of unanticipated medical events while traveling ,2023-07-15,0.235,0.0,0.765,0.836,2023,2023-07
195,1,Great customer service,2023-11-10,0.672,0.0,0.328,0.6249,2023,2023-11
196,1,Very friendly helpful agent  I learned things I had never been told before about how the different policies work ,2023-11-11,0.279,0.0,0.721,0.763,2023,2023-11
197,0,Didn t receive my policy  ,2023-02-10,0.0,0.0,1.0,0.0,2023,2023-02
198,1,The person that helped me was excellent ,2022-08-09,0.381,0.0,0.619,0.5719,2022,2022-08
199,0,your telephone rep could be a little more experienced at her job ,2023-01-09,0.0,0.0,1.0,0.0,2023,2023-01
200,0,It was a relative short questionnaire by the agent who was very polite and personable  The rate was slightly less than our previous supplier of travel insurance ,2021-11-29,0.0,0.0,1.0,0.0,2021,2021-11
201,1,Was great start to finish  Covers everything  They answered the phone on first ring  very helpful  had everything done within ten minutes ,2020-04-22,0.265,0.0,0.735,0.8016,2020,2020-04
202,1,Clear thourough,2020-01-02,0.722,0.0,0.278,0.3818,2020,2020-01
