score,review
1,Easy to process and a great price  
1,We decided to extend our stay in USA due to health conditions of friends  When we called for extended coverage the agent was very pleasant in granting our needs  It was great to have such  smooth  service 
1,Staff knowledgeable and efficient  Everything done in no time and price was reasonable
0,Snowbird insurance
0,The agent that helped me was very patient and resourceful 
1,The agent at Snowbird Advisor was very knowledgeable and helpful  The price of travel insurance is reasonable too 
1,Easy to complete and do online  Fair competitive prices 
0,Professional  English speaking and fast 
1,Excellent service provided by the representative  He was very professional  courteous and took the time to fully understand our specific needs  The process of buying the plan was very simple   overall a very positive experience 
1,good service
1,Clear questions  Easy to use format
1,The agents that handled our initial enquires were very helpful  and we received our quotes quickly by email  The pricing of the policies was very reasonable and cemented our choice  We highly recommend this Canadian company 
1,The format is easy to follow  Breaking choices into two categories at the start is a great feature  The questions for Standard are well structured 
-1,Got a better price than my current policy wth another provider
1,We received very clear answers to our questions  The agents were very patient and they clearly explained the process 
0,I always research travel insurance before each trip and usually end up getting Snowbird Insurance because of the coverage and cost
1,Quick to connect on the phone  English spoken is clear and understandable  quick with a quote  fast with an email  Thanks good job
1,Pleasant server
1,Good customer service
1,The agent was very helpful explained all the parts of the policy  The agent could speak good clear English  Price was responsible  your deductible lowers fee  Purchased policies at the same time Very happy   Jack 
1,Great staff straight forward and friendly
1,Great service  Chad could answer all of my questions 
1,The advisor explained things very well Also friendly
0,information seemed complete an straightforward 
1,Information was clear  Response was prompt  Agent s  was  were  friendly and informative  Ensured the quote was the most appropriate for me 
1,Easy to complete buying  friendly and helpful associates 
1,It was fast and easy  The website was easy to use and I thought that pricing was very competitive 
-1,The experience was easy  not long  great price and I purchased the insurance 
1,One line application was easy to follow with quick results  The price was less than most of the other companies I compared to 
1,I called to make sure that the info I received was in fact what I had ordered  The agent I spoke with was polite and explained everything to my understanding 
1,Very very professional able to get my insurance at a fair reasonable rate thank you for your help  Also a very nice person  Thank you 
1,Friendly and knowledgeable personnel  Good price
0,The agent was very personable and was able to answer any questions I had 
0,All worked fast
1,The online process was very quick and easy  The pricing was very competitive  better than most I researched  
1,The application was easy and the rate was very competitive 
1,Easy interface  logical layout  One stop site for travel insurance 
1,I am a repeat customer as online quote makes it easy to explore options and find the correct coverage   Pricing is competitive  recommend investigating
-1,Poor service and lack of proper understanding and communication skills
1,Very friendly representative
1,Very easy to deal with  
1,Quick  efficient  polite  helpful and personal service  Thank you 
1,The initial estimate was correct and when we went to confirm and pay we were told by another broker that it was incorrect and that we would have to procure insurance for the whole period as opposed to the period we were looking for  Thankfully my wife did not take this as an option and contacted another broker who told us that the initial quote was correct and that could procure insurance for the period we had intended 
1,The person I spoke with was excellent  She explained everything well as I was calling about a pre existing condition  We went through the questions and in very little time I got my insurance  I will recommend the Snowbird Advisory Insurance to all my friends 
1,The online quote process was easy to follow and complete  Moreover  the price quoted was more than competitive with other providers  I was particularly pleased to read that the medical travel policy is underwritten by Manulife  The real proof  of course  depends on the quality of service in the event of a medial emergency  Here s hoping it doesn t happen but if so  that the policy will be dealt with swiftly  respectfully and appropriately 
0,Very reliable  helped me with insurance at a very reasonable rate
0,Very patient and helped us using this for first time
1,It was easy to get emergency medical insurance  with no medical exemption period online  The only concern was trying to get cancellation coverage at the same time  I had to call for this  Connecting with an agent was fast and she was extremely pleasant and helpful  Overall  a great experience 
1,The customer service rep I had my call with was friendly  helpful and very knowledgeable  This is my second time purchasing travel insurance and she made it very fluid and it was very straightforward 
1,Friendly accommodating 
1,Good prices and easy to order online 
1,So easy to navigate your website and questionnaire  Always the best rates   
1,The pages were slow going through Not sure if was my internet connection  Everything was easy 
1,very easy to apply for travel insurance Thanks
1,Clear steps to identify existing health issues plus to understand everything about coverage
1,Virtually no waiting on the phone  got our quote quickly and received our policy via email  Super easy process 
1,Easy to use website Reasonable prices
1,The agent  Patty  was extremely knowledgeable  professional and personable  I had an issue trying to apply on line  but Patty was able to take care of everything very quickly  A great introduction to dealing with this company 
1,I have used your company before and the experience has always been good 
1,Fast and very easy to get travel insurance  I would recommend it to everyone
1,The representative answered all questions in a very clear manner 
1,I am always pleased each time I call and talk to a representative re insurance needs    I always do a quick check on other companies and what they are asking premium wise before calling and know that they have the best rates around 
1,Easy to navigate website  Competitive pricing
0,Not having to answer the same question about my health   or   times 
1,Very helpful rep
1,Easy to use staff answered all questions
1,User friendly app  Competitive pricing 
0,My initial questions were answered promptly and courteously by agent
1,Good coverage  great rates  very knowledgeable  helpful agent answered all my questions  A great find 
1,Fast easy  allowed a less than    day condition
1,The agent was helpful  Listened to what I had to say and clarified what was needed from me 
1,I have used this company many times  My rates are always top notch as I have no issues  my husband has a couple issues and this company is the best I have ever found I will continue to use them for every trip
0,Same price as another insurance company so I decided to go with snowbird association
1,People are nice  rates are good  but your systems have been down the last two calls  i e   October   January   In October when I renewed my annual travel insurance  it took almost a week to finalize the insurance  and luckily I had some time before departure  The recent call in January to add some extended insurance  the Agent had to pass me directly to the insurance provider 
1,Wish you would send a    day advice of renewal pending note 
1,Very easy to do online and gives you options on the plans you choose
0,Snowbird Insurance is my go to travel insurance company  Reasonably priced and complete coverage v
1,Excellent customer service along with type of coverage was very reasonable
1,Easy online application
1,Crystal was excellent on the phone  Guided me through the process and made constructive suggestions about whether I should buy single or annual policy  Also very approachable 
1,Application process was easy  Service representative was quick to respond and pleasant to interact with  Hopefully the process will be equally as accommodating in the event of unanticipated medical events while traveling 
1,Great customer service
1,Very friendly helpful agent  I learned things I had never been told before about how the different policies work 
0,Didn t receive my policy  
1,The person that helped me was excellent 
0,your telephone rep could be a little more experienced at her job 
0,It was a relative short questionnaire by the agent who was very polite and personable  The rate was slightly less than our previous supplier of travel insurance 
1,Was great start to finish  Covers everything  They answered the phone on first ring  very helpful  had everything done within ten minutes 
1,Clear thourough
1,Rep was outstanding  She took the time to find a plan that provided the coverage we needed for our   months in Mexico at a price that wasn t outrageous
1,Speedy coverage  Professional courteous and knowledgeable personnel but very hard to reach by phone 
1,Excellent process from start to finish
1,Easy to apply for insurance 
1,Patty was very knowledgable and handled our insurance requirements well 
1,Good and helpful
1,It was fast   easy to digest and very good pricing  Thankyou
0,Agent was very patient
1,Easy to use website
1,Quick and easy 
1,Informative  polite and helpful  Not to pushy  Can review and cancel within a time period of 
1,Easy and fast quote and purchase  Still best and most affordable option for travel insurance
-1,Don t like reviews if I was unhappy you would know
1,Both people I spoke to were friendly and knowledgeable AND very personable  Great jobs by both One was Theresa but cannot remember the other one tl Good job 
1,The representative was very professional  thorough and extremely pleasant to deal with while asking the necessary medical questions  closing with the warning cautions  My experience has been refreshing to say the least  Thank you the privilege is mine 
1,Very informative representatives  and quick with suggestions and responses to questions  Coverage seems better than other quotes we received  and the bonus it was the lowest quote of all other companies 
0,Simple way to get travel medical insurance
1,thank you for your help
1,Very easy to use   great price
1,I found I was treated very kind and helpful
1,We wanted to share our recent experience with booking our Snowbird advisory travel insurance  It was a first class experience  The two telephone advisory gentlemen we spoke too were very professional  courtesy  and helpful in providing us with valuable information allowing us make our decision to proceed with purchasing our travel insurance  In fact my wife and I both commented it was the best experience we ever had with purchasing any kind of service on the phone  Unfortunately we don t recall the name of our second advisor but Chad was the first and main one we dealt with  Congrats and thank you 
1,Great service   prices  so
1,Our experience with Assia has been fantastic so far  She followed up at the exact time planned  She was very efficient and we feel confident that we will be looked after if need be  on our vacation 
1,Really good 
1,Samantha was extremely helpful
1,It is always an easy process to book insurance and get answers to questions  Agents are extremely helpful  We haven t had to use it yet so can t comment on that part 
1,Ruth was patient  knowledgeable   was very helpful  I would contact Snowbird again
-1,It was easy  straightforward and no hassle like other companies 
1,Karen     was very informative and helpful when deciding what plan to chose from  Was polite   courteous  and we were able to UNDERSTAND  So many of the  CALL Centres  that businesses are using today have people that are difficult to understand because of the VERY HEAVY ACCENTS  
-1,Polite  knowledgeable  representative  Comfortable to deal with  Only problem I had  the confirmation of my insurance went into my  junk mail  and not into the received  In box  Maybe reminder to include your company in the contact list would have helped me   My problem 
1,First of all the person who took my call was courteous and made it know that he was there to help with what ever my request was  He was very efficient at answering any questions I had regarding to my request for insurance coverage  This gave me confidence in his ability to do just that  And I was not disappointed  This I know for certain  I would not hesitate to use your services again  I was won over by his ability to answer all my questions and to the business at hand 
1,Worked with me diligently to provide me with the exact insurance I needed  And friendly  professional and caring the whole way through 
1,Simple  step by step questions and clear instructions 
1,Courteous and Knowledgeable staff  Easy process
1,Polite  knowledgeable and helpful service  Best prices around 
1,Chris was very professional   knowledgeable and pleasant to deal with 
0,Affordable and reliable coverage for seniors 
1,Was less stressful than talking to an agent  Everything and all questions were simple and to the point  I like to see this easy way of getting Insurance
1,Easy to use online and low price 
1,We got a quote online and had to call as we had a few questions  Operator was helpful and knowledgeable  Great experience 
0,The cost for the policy
1,Easy to maneuver the site  questions were in layman s terms  good price 
1,relatively cumbersome to navigate thru the questions  primarily due to the medical q   a   but in the end I am very happy with the cost to acquire  I hope I have the same positive feeling should I unfortunately need to make a claim on the insurance 
1,Customer Service was very helpful 
1,It was an easy process 
1,The site was easy to navigate with straight forward questions  The quote was received very fast and the whole process was completed in no time at all  the documents were emailed to me within a couple of minutes  Thanks
1,The customer service staff are friendly  but it seems that it depends on which staff member you talk to you get either different questions or they do not understand what the customer is attempting to explain 
1,The agent I talked to was amazing  She was extremely helpful and explained every step we took 
1,Helpful and knowledgeable staff
1,I had to call in with a couple of questions and it was no problem for them to help answer  Excellent to deal with 
1,Easy to book on line with good prices
1,This is the second purchase I have made for travel insurance with this company  The application process and the cost associated with this policy are both very reasonable   easy and fair  Though I happily did not have to use the policy for payout   healthcare on my first trip and hope this next trip is the same  I just had have much greater peace of mind having purchased the policy extra coverage 
1,The person we dealt with was patient  kind and knowledgeable 
1,simple and efficient online process
1,Easy communication and purchase
1,Friendly and efficient service and on boarding made easy 
1,Everything was easy and went smoothly  The cost was reasonable also 
1,Your staff member was a big help 
1,Efficient collection of all required data  We were surprised at how expensive health insurance has become  Nasty surprise 
1,Call was immediately answered and we were able to go through the renewal process quickly  They made sure I understood everything and provided options  Any questions I asked were answered clearly 
1,Friendly person to talk to
1,I needed pre existing non stable coverage  Agent asked a series of questions and gave me a quote that was less than expected  Excellent service so far 
1,easy to apply
1,I was happy to understand what they told even when they had to explain it more for me she and he were fantastic This company is the best I was so happy that I didn t have to pay a big prices thank yous for having patience with me
0,You responded to our calls immediately
1,Ease of arranging insurance  Speaking to a live person 
1,Great customer service  Quick and easy to purchase travel insurance with best rate 
1,Easy to get the needed insurance
1,Process was good    I got the insurance  at a good price and without much time spent doing it 
1,Our agent was extremely polite and very helpful in getting us the packages that we needed to go on vacation
1,Fast response  value for the dollar  My credit card insurance wouldn t cover me on my upcoming trip due to a steroid I was prescribed   months earlier for a simple chest cold  Snowbird Insurance asked us a few questions  then gave us a reasonable rate to cover me for the    day trip  Very satisfied 
-1,My premium went up  No change in meds  Why 
1,Very efficient and excellent price 
-1,Quick renewal no hassles loved it
1,The staff was knowledge and very professional  Was able to answer all our questions and we were able to make a decision and finish our transaction in the same call  Thanks 
1,Agent very knowledgeable and helpful to get the right plan for our trip  Used many times  never had a claim so cannot comment on that 
1,Fast  efficient service and friendly too 
1,Easy to answer the questions
1,The gentleman on the phone was vert professional we got disconnected and he called me back instantly that was so nice 
-1,It was just a quick phone call to add a preexisting that I had accidentally omited
1,Quick  knew the policy  friendly and efficient 
1,Excellent service and help from th  Agent She is comp tent and knows her product    I will trust and use Snowbirds    Again Thank you
1,Advisor was very professional and personable  Able to answer my questions and assisted with completing the forms  Would definitely use this site again 
1,We have been getting our travel insurance from the Snowbird Advisor Insurance  for the last few years  who are very competitive and self explanatory   
1,Very easy to obtain a quote and great price
1,Quick response  Very courteous and professional service  First time user  Product appears to check all our boxes and at a reasonable rate 
0,Some of the medical questions are unreasonable For example  the one on skin tags  Also re rise in cholesterol levels  if stable for many years why up the charges 
1,The rate was the best that I found  Website was easy to navigate and medical questions were straightforward and clear 
1,The agent was very helpful in setting up our plans
1,Samantha was my phone representative and the experience was very pleasant  The technical quality of your phone system is excellent and her voice was as clear as a bell both times that I spoke to her on the phone  Samantha was very reassuring and helpful and patient with me when trying to answer so many questions that your forms require  Excellent service 
1,Easy process  Good insurance  Reasonable price 
1,Gentlemen I spoke too were very helpful informative and patient 
1,Fast  convenient for a good price
1,Representative was most helpful
1,Smooth and simple  easy to navigate  Good price
1,Chris Pike was excellent 
1,The agent was fantastic  
1,Provides helpful information and are responsive when addressing questions 
1,Don t know  haven t travelled yet but happy with phone info and service  awaiting hard copy by mail  must have asap  Travelling soon   Thankyou
1,Questionnaire was easy to maneuver and the price was cheaper by a few dollars than CAA s membership quote 
1,Very thorough and explained it well
-1,The interview and purchase was simple and straightforward  Although I thought the parameters and timelines for existing conditions were a little odd  ie happened before or after   weeks  When the issue was    years prior 
1,Great customer service love how the cost is low and efficient the coverage is great
1,Easy and affordable
1,It was relatively easy and quick to sign up for insurance  it is difficult to find adequate insurance if one has a pre existing condition  especially one that is not considered  stable  
1,Very clear and thorough explanation of coverage  The agents were pleasant and efficient 
1,Your agent was extremely helpful and your website is very easy to use  So happy to have discovered you and looking forward to using you again 
1,Experience overall was good  Unfortunately understanding the advisor was somewhat difficult  Speaking too fast can be difficult  Had to call back to correct the statement received  All is good now thank you
1,I love that I m able to do it online 
1,Very helpful and easy to understand
1,Easy  fast  intuitive program 
1,Great agent  answered all questions Very helpful
1,Prices are very competitive  It was easy to talk to a real person  Options are clear 
1,The online application is straightforward and easy to use  We had a question about the medical requirements and received a quick response over the phone 
0,It was quick and very simple to navigate the website to get the insurance we needed 
1,The person looking after me was pleasant  helpful and set me up with the right insurance for my vacation  It was a good experience 
1,Snowbird was very informative in addressing my pre existing conditions and was able to provide us with a competitive qoute for our travel needs
1,Fantastic service  Efficient  Good pricing 
1,Good advice  easy to understand and hear  polite  knowledgeable
1,Questionnaire was easy and price was acceptable
1,The gentleman who helped me purchase my Travel insurance was wonderful  He answered all my questions 
0,Thorough Informative representative 
1,Buying was easy   hopefully won t need service after an accident  Never know until you really need help  
0,I sent you a review a few days ago 
1,Very happy with the travel insurance we were able to obtain  Quick and easy on line process  Best price compared to   other quotes from   other providers 
0,Service price and correct answer s
1,The representative treated me with respect  She was very knowledgeable and answered all my questions  Within a reasonable time I had purchased my insurance 
1,Site was very user friendly Easy for people like me who are not very technical inclined to use   Thank You
1,Quick  easy
1,Easy to use  Found what I needed 
1,Easy and quick   competitive rates
1,Excellent and efficient customer service 
1,Agent was very patient and helpful
0,Quick and very knowledgeable
1,clear and precise info shounld be given for the client to make informed decision
1,The agent was thorough and efficient 
1,Tiffany was very helpful and there by adding to the overall experience 
1,Very friendly  helpfull 
1,All good  Very personal approach by your agents 
1,Very patient with questions and helpful 
1,It was my fault for agreeing to buy the full policy  it cost a fortune  I m totally covered by Canada life for    days and was just looking for top up insurance for    days but was sold a policy for    days
0,Don t know yet  I haven t had to use the policy
1,Pleasant help Respectful and seemed easy enough to gain coverage for minor pre existing conditions
0,They offerred me what i requested  and they did it in a timely manner  the only down fall was that the travel insurance for the same days last year was almost         more 
1,We talked to a representative and they were extremely helpful and courteous 
1,Quick on line service easy to understand and follow  and reasonable prices 
1,Easy to understand
1,That I could talk to them on the phone without waiting  the person I talked to knowledgeable and courteous  Application simple 
1,Friendly helpful knowledgeable staff  Easy to contact and communicate with  Able to find us a policy despite medical issues when other companies said no 
1,Very good communication with representative
1,Excellent and very knowledgeable staff to help us choose the insurance 
1,I am pleased with the prompt service and ease of obtaining emergency medical insurance  I can t speak to claims service  but am happy with obtained coverage 
1,Great person on the phone  Efficient and friendly 
1,Prompt  friendly service  Information clearly explained 
1,Had a good advisor  Clear concise questions  It was quick and painless 
1,Process was quick and easy  Best price when compared to other leading insurance providers 
1,I called in  The call was answered quickly and the staff  Collette  was extremely helpful 
1,Very good contact centre experience  No long wait  helpful guidance through the application process 
1,The person I spoke to was very knowledgable with regards to coverages and wordings  They even sent me a copy of their wordings for me to review prior to me deciding if this was was coverage for me  I would recommend them  Having said all that the real test of service would come should their be any type of claim 
1,I only realized yesterday that my insurance was due to expire that day so I called and was connected to a very helpful agent  She walked through the complete questionnaire for both myself and my husband and was able to renew the insurance on the spot  She went above and beyond because she did not have a working headset so was having to talk very loudly all the way through the call to enable me to hear her properly  Also find insurance coverage is very good   it s a competitive price and as I have had a critical illness it s great to find a company that will cover that so long as it is stable 
1,Quick and easy application process and pricing seems to be reasonable 
1,Easy application for insurance
1,The on line travel insurance was easy to navigate and complete  Cost was reasonable also 
1,Knowledgeable staff and very helpful
1,I found I was easy to navigate through the system  To get what I needed for my trip 
1,What a great price  
1,Very helpful person  Questions very simple and direct  No hesitation when I asked for paper info to be sent by mail 
1,Easy to get a quote  Hopefully it will be as easy to make a claim 
1,Quick and easy
1,very easy to talk to a representative and answer all question clearly
1,Web page was great  had a question and the support person was very helpful and informative 
1,Speaking directly with a service provider made the whole process  simple and accurate  The price for the coverage was very competitive 
1,Was a really nice personal experience with the fella on the other end of the line  he was polite  courteous and very helpful  Would recommend them  And the price was decent as well 
0,For myself insurance was very reasonable  I thought my husband s was very high  We are going with another company for him  The person we dealt with was very cordial  Answered all my questions  Very knowledgeable 
1,The staff was very knowledgeable and friendly  The transaction was completed in a very timely manner 
1,Great price and simple questioner 
1,Snowbirds was the best insurance out there for us We called many companies but Snowbirds were the price and coverage  The staff we spoke to were very patient and knew the job well  I would certainly advise Snowbirds 
1,W very helpful and informative
1,Agent was pleasant  Seemed knowledgeable
1,Our previous experience with Snowbird insurance was good  so it was definitely worth getting a quote for new travel insurance  The customer service by telephone was exceptional  with the rep making everything very clear  Service was also fast and easy  Thank you 
1,Our  rep   agent  was incredible  There was a prior issue  but this was resolved extremely professionally 
1,Very helpful  they answered all my questions
1,Signing up for travel insurance was very easy and straightforward  The only way to truly give a five star rating is if a claim is required and coverage is provided quickly and without complications 
1,The people that you hire are top of the cream    Used the web site but missed a condition  Called and received help  sorry I don t remember her name  but she was great  Asked questions that I didn t think of or found in the online questionnaire  Thanks for hiring people with a personality  Repeat customer  Rob Perry
1,Always friendly helpful service 
1,We were quite satisfied with service  Thank goodness we ve never had to use any 
1,Excellent service  competitive pricing and coverage 
1,Significantly better price than other quotes  Application on line was convenient and without issue 
1,Great price friendly knowledgeable
1,Customer service representatives are well trained  polite  and helpful  I couldn t ask for better service  The travel insurance products are reasonably priced and explained clearly  The annual travel plan option makes it simple for those who travel several times throughout a calendar year  It is a pleasure to return year after year to renew our travel insurance 
-1,I find it very frustrating that now that I have Rheumatoid Arthritis I have to claim my knee replacements  yet I have had them for    years and never had to claim them before 
1,Good experience
1,Easy to do online
1,Their website is easy to follow and they were willing to beat a competitors quote 
0,the cost was not out of the world  wife booked
1,On line quote and purchase user friendly
1,It was a quick and easy application online  Instructions were clear and resulted in very acceptable quote for my upcoming trip I have used Snowbird insurance in the past and would not hesitate to use them again
-1,This is the second year we have used this insurance  The application was straightforward to fill out and there were no issues  We will use this company again next year 
0,competative rates
1,The representatives  Collette and Christie were all very helpful and clear on the phone  I feel piece of mind now when I travel 
1,Agent was knowledgeable  friendly and helpful going through our options
1,It was Great
1,Very efficient process  Good price for an entire year of travel insurance coverage 
1,Easy to use website for an instant online quote  Reasonable rates 
1,Quick and easy to apply  Very competitive rates 
1,Getting travel insurance through Snowbird was super easy  This is my  rd year 
1,Agents and travel assistants on the phone speak clearly  are well informed and pleasant  Tasks are completed efficiently without interruptions 
